               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092969,            0.029043,            0.080921,           0.0024463,             0.67036,           0.0073305,           0.0018737,            0.043203,            0.016537,            0.052756,            0.070682,           0.0032576,           0.0032576
                   1,            0.059897,             0.02398,            0.073127,            0.027407,              0.7986,              0.1158,            0.034025,            0.040516,            0.011141,            0.048807,            0.040617,           0.0065257,           0.0065257
                   2,            0.054346,            0.018954,            0.069148,             0.21927,             0.19072,             0.11442,            0.050444,            0.036496,           0.0088062,            0.045793,            0.010485,           0.0097277,           0.0097277
                   3,            0.050998,            0.015397,            0.066716,             0.24462,             0.36299,             0.29394,             0.12889,            0.031661,           0.0072326,            0.042613,            0.009703,            0.009703,            0.009703
                   4,            0.045552,            0.013418,            0.061426,             0.42643,             0.44199,             0.36951,             0.18954,            0.026881,           0.0060524,            0.039518,            0.009703,            0.009703,            0.009703
                   5,            0.041087,            0.012102,            0.058879,              0.5423,             0.48601,             0.40975,             0.23164,            0.026958,           0.0056888,            0.036818,            0.009604,            0.009604,            0.009604
                   6,            0.039116,            0.010958,            0.055012,             0.47482,             0.56071,             0.51975,             0.22734,            0.028846,           0.0064223,            0.035078,            0.009505,            0.009505,            0.009505
                   7,            0.037758,            0.011013,            0.054111,             0.54258,             0.60908,             0.61696,             0.39098,            0.018392,           0.0055489,            0.032536,            0.009406,            0.009406,            0.009406
                   8,            0.036748,            0.010548,            0.049531,              0.6763,             0.66371,             0.68591,             0.45128,            0.019338,           0.0051467,            0.029212,            0.009307,            0.009307,            0.009307
                   9,            0.036739,            0.010468,             0.04454,             0.71352,              0.6374,             0.77007,              0.3988,            0.025016,           0.0054282,             0.02624,            0.009208,            0.009208,            0.009208
                  10,            0.036716,            0.010382,            0.045149,             0.70156,             0.71877,             0.80261,             0.51468,            0.019452,            0.005544,            0.024003,            0.009109,            0.009109,            0.009109
                  11,            0.035087,            0.010136,            0.038286,             0.65859,             0.77594,             0.80723,             0.49678,            0.022225,           0.0050349,            0.020621,             0.00901,             0.00901,             0.00901
                  12,            0.035455,            0.009846,            0.037345,             0.76243,             0.70232,             0.82336,             0.54218,            0.019197,           0.0054214,            0.019856,            0.008911,            0.008911,            0.008911
                  13,            0.035032,           0.0095484,            0.032992,             0.71056,             0.84355,             0.85556,             0.47255,            0.021472,           0.0050037,            0.017106,            0.008812,            0.008812,            0.008812
